Cell Reference,nCube ID,nCube Name,N of Variables,Variable 1,Cat 1 Seq,Category 1,Variable 2,Cat 2 Seq,Category 2,Variable 3,Cat 3 Seq,Category 3, Variable 4,Cat 4 Seq,Category 4
OCC_RAW1841:female/o20/1461,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1461,Hatter and Hat-manufacturer (all branches),,,
OCC_RAW1841:female/o20/1467,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1467,Hawker, Huckster, and Pedlar,,,
OCC_RAW1841:female/o20/1469,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1469,Hay and Straw-dealer,,,
OCC_RAW1841:female/o20/147,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,147,Bayonet-forger and Maker,,,
OCC_RAW1841:female/o20/1474,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1474,Heald-maker,,,
OCC_RAW1841:female/o20/1479,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1479,Hemp dealer and Merchant,,,
OCC_RAW1841:female/o20/149,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,149,Bazaar-Keeper,,,
OCC_RAW1841:female/o20/1490,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1490,Hemp-manufacture (all branches),,,
OCC_RAW1841:female/o20/1493,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1493,Herb Distiller,,,
OCC_RAW1841:female/o20/1494,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1494,Herbalist,,,
OCC_RAW1841:female/o20/1496,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1496,Hinge-maker,,,
OCC_RAW1841:female/o20/1502,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1502,Hook and Eye-maker,,,
OCC_RAW1841:female/o20/1507,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1507,Hoop-maker,,,
OCC_RAW1841:female/o20/151,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,151,Bead-maker,,,
OCC_RAW1841:female/o20/1516,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1516,Hop-dealer and Merchant,,,
OCC_RAW1841:female/o20/1528,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1528,Horn-turner and Worker,,,
OCC_RAW1841:female/o20/153,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,153,Bed and Mattress-maker,,,
OCC_RAW1841:female/o20/1536,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1536,Horse-dealer and Trainer,,,
OCC_RAW1841:female/o20/1544,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1544,Hose (Stocking) manufacture (all branches),,,
OCC_RAW1841:female/o20/1553,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1553,Hot-presser,,,
OCC_RAW1841:female/o20/1558,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1558,Ice-dealer,,,
OCC_RAW1841:female/o20/1563,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1563,India-rubber and Mackintosh-manufacture,,,
OCC_RAW1841:female/o20/1566,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1566,India-rubber-merchant,,,
OCC_RAW1841:female/o20/1568,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1568,Indigo-broker and Merchant,,,
OCC_RAW1841:female/o20/157,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,157,Bedstead-maker,,,
OCC_RAW1841:female/o20/1575,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1575,Ink-maker,,,
OCC_RAW1841:female/o20/1576,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1576,Ink-stand-maker,,,
OCC_RAW1841:female/o20/1578,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1578,Instrument Case-maker,,,
OCC_RAW1841:female/o20/1579,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1579,Instrument-maker,,,
OCC_RAW1841:female/o20/158,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,158,Bee-dealer,,,
OCC_RAW1841:female/o20/1582,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1582,Insurance-agent and Broker,,,
OCC_RAW1841:female/o20/1584,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1584,Iron Agent,,,
OCC_RAW1841:female/o20/1586,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1586,Iron Box-maker,,,
OCC_RAW1841:female/o20/159,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,159,Beehive-maker,,,
OCC_RAW1841:female/o20/1590,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1590,Iron Manufacture (all branches),,,
OCC_RAW1841:female/o20/1592,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1592,Iron Master,,,
OCC_RAW1841:female/o20/1595,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1595,Iron Monger, Saddler's,,,
OCC_RAW1841:female/o20/16,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,16,Agricultural Implement-maker,,,
OCC_RAW1841:female/o20/1602,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1602,Iron-dealer and Merchant,,,
OCC_RAW1841:female/o20/1604,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1604,Ironmonger,,,
OCC_RAW1841:female/o20/1608,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1608,Isinglass-maker,,,
OCC_RAW1841:female/o20/1614,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1614,Ivory-cutter, Worker, and Dealer,,,
OCC_RAW1841:female/o20/1623,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1623,Jack (Bottle) maker,,,
OCC_RAW1841:female/o20/1624,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1624,Jack (Coach) Maker,,,
OCC_RAW1841:female/o20/1626,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1626,Jack-maker,,,
OCC_RAW1841:female/o20/1628,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1628,Japanner,,,
OCC_RAW1841:female/o20/163,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,163,Bell-founder,,,
OCC_RAW1841:female/o20/1634,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1634,Jet carver and Worker,,,
OCC_RAW1841:female/o20/1636,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1636,Jewel-case-maker,,,
OCC_RAW1841:female/o20/1641,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1641,Jeweller, Goldsmith, and Silversmith,,,
OCC_RAW1841:female/o20/1644,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1644,Keeper Light and Light-house,,,
OCC_RAW1841:female/o20/1645,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1645,Keeper or Head of Public Institution,,,
OCC_RAW1841:female/o20/1652,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1652,Keeper, Game, Gate, and Park,,,
OCC_RAW1841:female/o20/1656,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1656,Keeper, Lunatic Asylum,,,
OCC_RAW1841:female/o20/1660,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1660,Keeper, Telegraph,,,
OCC_RAW1841:female/o20/1661,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1661,Kelp Manufacturer,,,
OCC_RAW1841:female/o20/1662,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1662,Knacker,,,
OCC_RAW1841:female/o20/167,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,167,Bellows-maker,,,
OCC_RAW1841:female/o20/1670,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1670,Knitter,,,
OCC_RAW1841:female/o20/1671,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1671,Knitter, Framework,,,
OCC_RAW1841:female/o20/1673,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1673,Label-maker,,,
OCC_RAW1841:female/o20/1674,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1674,Labourer,,,
OCC_RAW1841:female/o20/1675,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1675,Labourer, Agricultural,,,
OCC_RAW1841:female/o20/1677,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1677,Lace Agent,,,
OCC_RAW1841:female/o20/1683,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1683,Lace-dealer and Laceman,,,
OCC_RAW1841:female/o20/1691,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1691,Lace-manufacture (all branches),,,
OCC_RAW1841:female/o20/1694,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1694,Lamp and Lantern-maker,,,
OCC_RAW1841:female/o20/1695,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1695,Lamp-black-maker,,,
OCC_RAW1841:female/o20/1696,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1696,Lamp-contractor,,,
OCC_RAW1841:female/o20/1701,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1701,Land Agent,,,
OCC_RAW1841:female/o20/1705,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1705,Lapidary,,,
OCC_RAW1841:female/o20/1707,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1707,Last-maker,,,
OCC_RAW1841:female/o20/1717,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1717,Lath-maker and Render,,,
OCC_RAW1841:female/o20/1728,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1728,Laundry-keeper, Washer, and Mangler,,,
OCC_RAW1841:female/o20/1730,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1730,Law Agent,,,
OCC_RAW1841:female/o20/1731,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1731,Law Officer,,,
OCC_RAW1841:female/o20/1733,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1733,Lead Agent,,,
OCC_RAW1841:female/o20/1741,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1741,Lead-manufacture (all branches),,,
OCC_RAW1841:female/o20/1742,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1742,Lead-merchant,,,
OCC_RAW1841:female/o20/1752,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1752,Leather-case-maker,,,
OCC_RAW1841:female/o20/1754,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1754,Leather-embosser and Gilder,,,
OCC_RAW1841:female/o20/1759,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1759,Leather-pipe-maker,,,
OCC_RAW1841:female/o20/1762,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1762,Leech bleeder and Dealer,,,
OCC_RAW1841:female/o20/177,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,177,Billiard-table-keeper and Marker,,,
OCC_RAW1841:female/o20/1778,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1778,Letter-cutter and Maker,,,
OCC_RAW1841:female/o20/178,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,178,Billiard-table-maker,,,
OCC_RAW1841:female/o20/1780,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1780,Librarian,,,
OCC_RAW1841:female/o20/1783,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1783,Limb (Artificial) maker,,,
OCC_RAW1841:female/o20/1786,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1786,Lime-burner,,,
OCC_RAW1841:female/o20/179,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,179,Bill-sticker,,,
OCC_RAW1841:female/o20/1793,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1793,Lime-dealer and Merchant,,,
OCC_RAW1841:female/o20/1797,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1797,Linen Agent and Merchant,,,
OCC_RAW1841:female/o20/1811,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1811,Lint-manufacture,,,
OCC_RAW1841:female/o20/1820,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1820,Lithographer and Lithographic Printer,,,
OCC_RAW1841:female/o20/1823,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1823,Livery-stable-keeper,,,
OCC_RAW1841:female/o20/1826,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1826,Locksmith and Bell-hanger,,,
OCC_RAW1841:female/o20/1827,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1827,Lodging and Boarding-house Keeper,,,
OCC_RAW1841:female/o20/1833,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1833,Looking-glass-maker,,,
OCC_RAW1841:female/o20/1846,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1846,Maltster,,,
OCC_RAW1841:female/o20/1847,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1847,Manchester Warehouseman,,,
OCC_RAW1841:female/o20/1848,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1848,Mangle-maker,,,
OCC_RAW1841:female/o20/1850,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1850,Manure-dealer,,,
OCC_RAW1841:female/o20/1853,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1853,Map-maker and Publisher,,,
OCC_RAW1841:female/o20/1857,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1857,Marble-merchant and Dealer,,,
